,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR18143744.fastq.bam,"0 / 483
0.00%","1 / 73
1.37%","476 / 483
98.55%","1 / 1
100.00%","750 / 756
99.21%","779 / 780
99.87%","0 / 350
0.00%","9197 / 9317
98.71%","3473 / 3481
99.77%","1 / 11
9.09%","117 / 119
98.32%","2409 / 2444
98.57%","6 / 5178
0.12%","0 / 389
0.00%","7 / 6887
0.10%","0 / 10952
0.00%","1 / 12
8.33%","0 / 0
NA","0 / 920
0.00%","0 / 0
NA","0 / 70
0.00%","476 / 483
98.55%","0 / 1
0.00%","0 / 892
0.00%","779 / 780
99.87%","9286 / 9322
99.61%","1 / 224
0.45%","122 / 572
21.33%","0 / 300
0.00%","780 / 786
99.24%","7 / 4779
0.15%","0 / 1
0.00%","0 / 26
0.00%","0 / 1997
0.00%","0 / 236
0.00%","0 / 73
0.00%","0 / 0
NA","893 / 898
99.44%","73 / 73
100.00%","8281 / 8290
99.89%","0 / 756
0.00%","0 / 230
0.00%","2 / 780
0.26%","0 / 0
NA","0 / 70
0.00%","0 / 145
0.00%","0 / 898
0.00%","0 / 1
0.00%","0 / 2089
0.00%","0 / 1675
0.00%","0 / 26
0.00%","0 / 0
NA","0 / 585
0.00%","1669 / 1674
99.70%","786 / 787
99.87%","9213 / 9317
98.88%","0 / 390
0.00%","4 / 10956
0.04%","0 / 1
0.00%","0 / 896
0.00%"
SRR18143745.fastq.bam,"3 / 2246
0.13%","0 / 144
0.00%","1917 / 2247
85.31%","0 / 0
NA","396 / 401
98.75%","0 / 56
0.00%","0 / 6
0.00%","7750 / 8712
88.96%","2168 / 2176
99.63%","0 / 0
NA","145 / 146
99.32%","1711 / 1726
99.13%","0 / 1048
0.00%","0 / 484
0.00%","5 / 10390
0.05%","0 / 8040
0.00%","2 / 12
16.67%","0 / 0
NA","156 / 2265
6.89%","0 / 0
NA","0 / 124
0.00%","1916 / 2247
85.27%","0 / 0
NA","0 / 1908
0.00%","403 / 465
86.67%","8689 / 8714
99.71%","0 / 77
0.00%","35 / 516
6.78%","0 / 272
0.00%","410 / 476
86.13%","6 / 4167
0.14%","0 / 0
NA","0 / 10
0.00%","0 / 910
0.00%","0 / 106
0.00%","0 / 145
0.00%","0 / 593
0.00%","1913 / 1916
99.84%","138 / 145
95.17%","6382 / 6390
99.87%","0 / 401
0.00%","0 / 150
0.00%","0 / 465
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 774
0.00%","0 / 1916
0.00%","0 / 1
0.00%","0 / 2370
0.00%","1 / 2327
0.04%","0 / 10
0.00%","0 / 0
NA","0 / 112
0.00%","2260 / 2327
97.12%","0 / 56
0.00%","7762 / 8712
89.10%","0 / 485
0.00%","11 / 8047
0.14%","0 / 0
NA","37 / 1911
1.94%"
SRR18143746.fastq.bam,"1 / 1638
0.06%","0 / 88
0.00%","1632 / 1639
99.57%","0 / 0
NA","1 / 1
100.00%","301 / 307
98.05%","0 / 56
0.00%","8640 / 8706
99.24%","4268 / 4276
99.81%","1 / 41
2.44%","5 / 5
100.00%","2336 / 2367
98.69%","0 / 1959
0.00%","0 / 295
0.00%","8 / 11786
0.07%","0 / 8945
0.00%","0 / 17
0.00%","2 / 2
100.00%","0 / 3107
0.00%","0 / 0
NA","0 / 79
0.00%","1631 / 1639
99.51%","0 / 0
NA","1 / 3340
0.03%","301 / 307
98.05%","8683 / 8712
99.67%","2 / 70
2.86%","14 / 665
2.11%","0 / 307
0.00%","308 / 315
97.78%","10 / 10127
0.10%","0 / 39
0.00%","0 / 1
0.00%","0 / 2326
0.00%","0 / 253
0.00%","0 / 88
0.00%","0 / 0
NA","3344 / 3351
99.79%","88 / 88
100.00%","14458 / 14470
99.92%","1 / 303
0.33%","0 / 117
0.00%","0 / 308
0.00%","0 / 0
NA","0 / 79
0.00%","0 / 581
0.00%","0 / 3351
0.00%","0 / 0
NA","12 / 1629
0.74%","0 / 1
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 53
0.00%","3588 / 3660
98.03%","315 / 321
98.13%","8653 / 8706
99.39%","0 / 296
0.00%","8 / 8948
0.09%","0 / 0
NA","39 / 3342
1.17%"
SRR18266276.fastq.bam,"1 / 3632
0.03%","0 / 59
0.00%","3621 / 3632
99.70%","0 / 0
NA","515 / 519
99.23%","525 / 533
98.50%","0 / 850
0.00%","6355 / 6400
99.30%","3712 / 3713
99.97%","2 / 29
6.90%","34 / 34
100.00%","6621 / 6981
94.84%","0 / 1213
0.00%","0 / 1179
0.00%","4 / 19417
0.02%","0 / 7238
0.00%","0 / 0
NA","0 / 0
NA","0 / 3651
0.00%","0 / 0
NA","0 / 54
0.00%","3621 / 3632
99.70%","0 / 0
NA","0 / 6607
0.00%","526 / 533
98.69%","6379 / 6400
99.67%","0 / 43
0.00%","81 / 1935
4.19%","0 / 428
0.00%","532 / 537
99.07%","2 / 7018
0.03%","0 / 36
0.00%","1 / 90
1.11%","0 / 7899
0.00%","0 / 336
0.00%","0 / 59
0.00%","0 / 1
0.00%","6614 / 6616
99.97%","59 / 59
100.00%","10750 / 10760
99.91%","0 / 519
0.00%","0 / 1461
0.00%","1 / 533
0.19%","0 / 0
NA","0 / 54
0.00%","0 / 1094
0.00%","3 / 6616
0.05%","0 / 0
NA","0 / 5083
0.00%","0 / 7166
0.00%","0 / 90
0.00%","0 / 0
NA","0 / 266
0.00%","7158 / 7163
99.93%","536 / 646
82.97%","6367 / 6400
99.48%","0 / 1179
0.00%","6 / 7244
0.08%","0 / 0
NA","0 / 6609
0.00%"
SRR18266277.fastq.bam,"0 / 5
0.00%","0 / 102
0.00%","5 / 5
100.00%","1 / 1
100.00%","1409 / 1416
99.51%","1427 / 1439
99.17%","2 / 1373
0.15%","5107 / 5139
99.38%","8417 / 8430
99.85%","0 / 6
0.00%","106 / 106
100.00%","5663 / 5693
99.47%","0 / 1394
0.00%","0 / 2835
0.00%","6 / 20092
0.03%","0 / 2469
0.00%","0 / 4
0.00%","0 / 0
NA","0 / 881
0.00%","0 / 0
NA","0 / 5
0.00%","5 / 5
100.00%","0 / 1
0.00%","0 / 3722
0.00%","1428 / 1439
99.24%","5116 / 5139
99.55%","0 / 44
0.00%","268 / 5008
5.35%","0 / 982
0.00%","1439 / 1457
98.76%","4 / 8973
0.04%","0 / 13
0.00%","0 / 18
0.00%","0 / 4060
0.00%","0 / 112
0.00%","0 / 1
0.00%","0 / 2558
0.00%","3720 / 3727
99.81%","0 / 0
NA","17454 / 17462
99.95%","0 / 1417
0.00%","0 / 1320
0.00%","1 / 1440
0.07%","0 / 0
NA","0 / 5
0.00%","0 / 5
0.00%","0 / 3727
0.00%","0 / 0
NA","0 / 1085
0.00%","0 / 5184
0.00%","0 / 17
0.00%","0 / 0
NA","0 / 358
0.00%","5165 / 5171
99.88%","1456 / 1612
90.32%","5122 / 5139
99.67%","0 / 2836
0.00%","1 / 2472
0.04%","0 / 1
0.00%","0 / 3725
0.00%"
SRR18266278.fastq.bam,"0 / 6645
0.00%","0 / 179
0.00%","6586 / 6645
99.11%","0 / 0
NA","899 / 910
98.79%","910 / 923
98.59%","0 / 377
0.00%","12527 / 12632
99.17%","9147 / 9156
99.90%","0 / 1
0.00%","61 / 61
100.00%","6863 / 6958
98.63%","0 / 4015
0.00%","0 / 2215
0.00%","4 / 11829
0.03%","0 / 4753
0.00%","0 / 3
0.00%","0 / 0
NA","0 / 526
0.00%","0 / 0
NA","0 / 167
0.00%","6586 / 6645
99.11%","0 / 0
NA","0 / 10331
0.00%","910 / 923
98.59%","12575 / 12633
99.54%","2 / 196
1.02%","88 / 2071
4.25%","0 / 458
0.00%","917 / 934
98.18%","0 / 13991
0.00%","0 / 12
0.00%","0 / 4
0.00%","0 / 2399
0.00%","0 / 7
0.00%","0 / 180
0.00%","0 / 0
NA","10334 / 10345
99.89%","178 / 179
99.44%","23181 / 23193
99.95%","0 / 910
0.00%","0 / 111
0.00%","0 / 923
0.00%","0 / 0
NA","0 / 167
0.00%","0 / 1929
0.00%","7 / 10345
0.07%","0 / 1
0.00%","0 / 4976
0.00%","1 / 11470
0.01%","0 / 4
0.00%","0 / 0
NA","0 / 3
0.00%","11236 / 11281
99.60%","934 / 944
98.94%","12561 / 12632
99.44%","0 / 2217
0.00%","4 / 4759
0.08%","0 / 0
NA","0 / 10337
0.00%"
SRR18266279.fastq.bam,"0 / 6607
0.00%","0 / 1656
0.00%","6564 / 6607
99.35%","0 / 0
NA","30646 / 30807
99.48%","0 / 8245
0.00%","28 / 32
87.50%","0 / 8
0.00%","9957 / 9961
99.96%","1 / 5
20.00%","347 / 350
99.14%","4022 / 4051
99.28%","0 / 0
NA","0 / 4419
0.00%","7 / 23123
0.03%","0 / 13187
0.00%","0 / 0
NA","0 / 0
NA","59 / 15508
0.38%","0 / 0
NA","0 / 1501
0.00%","6564 / 6607
99.35%","0 / 0
NA","0 / 30788
0.00%","0 / 0
NA","0 / 8
0.00%","0 / 571
0.00%","2 / 193
1.04%","0 / 191
0.00%","0 / 0
NA","0 / 9919
0.00%","0 / 1
0.00%","0 / 20
0.00%","0 / 6155
0.00%","0 / 0
NA","0 / 1666
0.00%","0 / 0
NA","30785 / 30874
99.71%","1650 / 1657
99.58%","9936 / 9940
99.96%","5 / 31435
0.02%","0 / 10
0.00%","0 / 0
NA","0 / 0
NA","0 / 1
0.00%","0 / 1942
0.00%","10 / 30874
0.03%","0 / 0
NA","0 / 6688
0.00%","5 / 31435
0.02%","0 / 19
0.00%","0 / 0
NA","0 / 14
0.00%","30708 / 30834
99.59%","0 / 8245
0.00%","0 / 0
NA","0 / 4419
0.00%","14 / 13197
0.11%","0 / 0
NA","0 / 30795
0.00%"
SRR18266280.fastq.bam,"0 / 35
0.00%","0 / 2356
0.00%","22 / 35
62.86%","0 / 0
NA","506 / 508
99.61%","518 / 521
99.42%","3014 / 3022
99.74%","2768 / 2792
99.14%","2864 / 2871
99.76%","1 / 4
25.00%","29 / 29
100.00%","4167 / 4193
99.38%","1 / 3649
0.03%","0 / 341
0.00%","2 / 7449
0.03%","0 / 3948
0.00%","0 / 6
0.00%","1 / 2
50.00%","1109 / 3303
33.58%","0 / 0
NA","0 / 2188
0.00%","22 / 35
62.86%","0 / 0
NA","0 / 2279
0.00%","518 / 521
99.42%","2787 / 2792
99.82%","0 / 138
0.00%","12 / 3758
0.32%","0 / 333
0.00%","521 / 528
98.67%","0 / 0
NA","0 / 1
0.00%","0 / 72
0.00%","0 / 7761
0.00%","0 / 53
0.00%","0 / 2360
0.00%","0 / 0
NA","2276 / 2316
98.27%","2356 / 2356
100.00%","2870 / 2876
99.79%","0 / 508
0.00%","0 / 8
0.00%","0 / 521
0.00%","0 / 0
NA","0 / 2193
0.00%","0 / 35
0.00%","0 / 2316
0.00%","0 / 0
NA","26 / 1865
1.39%","0 / 2822
0.00%","0 / 72
0.00%","0 / 0
NA","0 / 0
NA","2801 / 2804
99.89%","528 / 3959
13.34%","2772 / 2792
99.28%","0 / 2
0.00%","4 / 3948
0.10%","0 / 0
NA","0 / 2280
0.00%"
SRR18266281.fastq.bam,"0 / 1744
0.00%","0 / 22
0.00%","1711 / 1744
98.11%","0 / 0
NA","257 / 258
99.61%","258 / 259
99.61%","535 / 540
99.07%","946 / 951
99.47%","2873 / 2879
99.79%","0 / 0
NA","71 / 71
100.00%","6055 / 6086
99.49%","0 / 1614
0.00%","0 / 528
0.00%","0 / 716
0.00%","0 / 7810
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 2706
0.00%","0 / 0
NA","1 / 19
5.26%","1711 / 1744
98.11%","0 / 0
NA","0 / 3401
0.00%","258 / 259
99.61%","949 / 951
99.79%","7 / 7
100.00%","0 / 1
0.00%","0 / 177
0.00%","260 / 261
99.62%","1 / 6823
0.01%","0 / 4
0.00%","0 / 9
0.00%","0 / 4356
0.00%","0 / 6
0.00%","0 / 29
0.00%","0 / 0
NA","3401 / 3457
98.38%","22 / 22
100.00%","9772 / 9777
99.95%","0 / 258
0.00%","0 / 271
0.00%","0 / 259
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 476
0.00%","0 / 3457
0.00%","0 / 0
NA","0 / 1351
0.00%","0 / 3767
0.00%","0 / 9
0.00%","0 / 0
NA","0 / 0
NA","3676 / 3680
99.89%","260 / 4346
5.98%","946 / 951
99.47%","0 / 528
0.00%","12 / 7812
0.15%","0 / 0
NA","0 / 3410
0.00%"
SRR18266282.fastq.bam,"5 / 4090
0.12%","0 / 48
0.00%","4071 / 4090
99.54%","0 / 0
NA","271 / 301
90.03%","285 / 315
90.48%","1971 / 1977
99.70%","12773 / 12870
99.25%","1576 / 1588
99.24%","1 / 7
14.29%","68 / 68
100.00%","3975 / 4061
97.88%","0 / 1731
0.00%","0 / 1043
0.00%","24 / 10118
0.24%","0 / 4674
0.00%","0 / 77
0.00%","0 / 0
NA","405 / 2371
17.08%","0 / 0
NA","0 / 51
0.00%","4071 / 4090
99.54%","0 / 0
NA","0 / 5530
0.00%","311 / 315
98.73%","12819 / 12872
99.59%","0 / 113
0.00%","89 / 2939
3.03%","0 / 299
0.00%","315 / 324
97.22%","8 / 11708
0.07%","0 / 1
0.00%","0 / 109
0.00%","0 / 4688
0.00%","0 / 198
0.00%","0 / 51
0.00%","0 / 0
NA","5538 / 5554
99.71%","47 / 50
94.00%","13437 / 13451
99.90%","0 / 301
0.00%","0 / 824
0.00%","1 / 315
0.32%","0 / 0
NA","0 / 2
0.00%","0 / 1215
0.00%","5 / 5554
0.09%","0 / 0
NA","0 / 3298
0.00%","0 / 5889
0.00%","0 / 107
0.00%","0 / 0
NA","0 / 198
0.00%","5849 / 5883
99.42%","297 / 464
64.01%","12805 / 12870
99.49%","0 / 1043
0.00%","6 / 4680
0.13%","0 / 0
NA","1 / 5540
0.02%"
SRR18266283.fastq.bam,"0 / 1483
0.00%","0 / 274
0.00%","1478 / 1483
99.66%","1 / 1
100.00%","1041 / 1047
99.43%","1043 / 1057
98.68%","0 / 431
0.00%","26655 / 26873
99.19%","6263 / 6279
99.75%","0 / 10
0.00%","222 / 223
99.55%","21177 / 21305
99.40%","0 / 4985
0.00%","0 / 190
0.00%","10 / 25081
0.04%","0 / 24072
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 5577
0.00%","0 / 0
NA","0 / 250
0.00%","1478 / 1483
99.66%","0 / 1
0.00%","0 / 10642
0.00%","1047 / 1057
99.05%","26763 / 26876
99.58%","0 / 251
0.00%","111 / 4512
2.46%","0 / 796
0.00%","1056 / 1070
98.69%","1 / 15237
0.01%","0 / 30
0.00%","0 / 1424
0.00%","0 / 7798
0.00%","1 / 198
0.51%","0 / 274
0.00%","0 / 1
0.00%","10631 / 10658
99.75%","271 / 274
98.91%","21627 / 21645
99.92%","0 / 1047
0.00%","0 / 1149
0.00%","2 / 1057
0.19%","0 / 0
NA","0 / 252
0.00%","0 / 448
0.00%","4 / 10658
0.04%","0 / 0
NA","0 / 4174
0.00%","1 / 11742
0.01%","0 / 1412
0.00%","0 / 0
NA","0 / 54
0.00%","11721 / 11737
99.86%","1066 / 1190
89.58%","26718 / 26873
99.42%","0 / 190
0.00%","36 / 24081
0.15%","0 / 1
0.00%","0 / 10653
0.00%"
SRR18266284.fastq.bam,"0 / 4131
0.00%","0 / 472
0.00%","3331 / 4131
80.63%","0 / 567
0.00%","942 / 1227
76.77%","963 / 1262
76.31%","0 / 556
0.00%","4016 / 8069
49.77%","5183 / 5731
90.44%","2 / 1255
0.16%","130 / 130
100.00%","5986 / 6061
98.76%","0 / 3463
0.00%","0 / 668
0.00%","17 / 8969
0.19%","0 / 7715
0.00%","0 / 54
0.00%","0 / 0
NA","1 / 3532
0.03%","0 / 0
NA","0 / 452
0.00%","3331 / 4131
80.63%","0 / 567
0.00%","0 / 7700
0.00%","965 / 1262
76.47%","4041 / 8069
50.08%","0 / 39
0.00%","155 / 3548
4.37%","0 / 614
0.00%","975 / 1273
76.59%","12 / 22128
0.05%","0 / 2
0.00%","0 / 880
0.00%","0 / 6947
0.00%","0 / 118
0.00%","0 / 479
0.00%","0 / 760
0.00%","7708 / 7730
99.72%","460 / 473
97.25%","28139 / 28173
99.88%","277 / 1229
22.54%","0 / 554
0.00%","1 / 1262
0.08%","0 / 0
NA","0 / 1
0.00%","0 / 1218
0.00%","4 / 7730
0.05%","0 / 0
NA","0 / 3077
0.00%","288 / 9246
3.11%","0 / 877
0.00%","0 / 0
NA","0 / 325
0.00%","8716 / 9017
96.66%","981 / 1284
76.40%","4924 / 8069
61.02%","0 / 668
0.00%","8 / 7731
0.10%","0 / 568
0.00%","0 / 7714
0.00%"
SRR18300800.fastq.bam,"0 / 715
0.00%","0 / 345
0.00%","714 / 715
99.86%","0 / 0
NA","541 / 544
99.45%","552 / 555
99.46%","0 / 188
0.00%","7387 / 7462
98.99%","3998 / 4004
99.85%","0 / 5
0.00%","172 / 174
98.85%","3649 / 3680
99.16%","0 / 3687
0.00%","0 / 1296
0.00%","14 / 19516
0.07%","0 / 3061
0.00%","0 / 6
0.00%","0 / 1
0.00%","559 / 3044
18.36%","0 / 0
NA","0 / 322
0.00%","714 / 715
99.86%","0 / 0
NA","0 / 1269
0.00%","552 / 555
99.46%","7435 / 7462
99.64%","0 / 51
0.00%","203 / 717
28.31%","0 / 374
0.00%","555 / 559
99.28%","3 / 6926
0.04%","0 / 4
0.00%","0 / 1
0.00%","0 / 1110
0.00%","37 / 137
27.01%","0 / 345
0.00%","0 / 0
NA","1269 / 1272
99.76%","345 / 345
100.00%","10952 / 10960
99.93%","0 / 544
0.00%","0 / 63
0.00%","0 / 555
0.00%","0 / 0
NA","0 / 324
0.00%","0 / 245
0.00%","0 / 1272
0.00%","0 / 0
NA","0 / 761
0.00%","1 / 1832
0.05%","0 / 1
0.00%","0 / 0
NA","0 / 287
0.00%","1826 / 1831
99.73%","559 / 563
99.29%","7404 / 7462
99.22%","0 / 1296
0.00%","7 / 3061
0.23%","0 / 0
NA","0 / 1272
0.00%"
SRR18300801.fastq.bam,"0 / 9284
0.00%","0 / 276
0.00%","9224 / 9284
99.35%","0 / 0
NA","630 / 1070
58.88%","637 / 1084
58.76%","0 / 824
0.00%","17508 / 21476
81.52%","4843 / 4854
99.77%","1 / 3
33.33%","113 / 113
100.00%","3269 / 3311
98.73%","0 / 2977
0.00%","0 / 922
0.00%","4899 / 23092
21.22%","0 / 9442
0.00%","0 / 0
NA","1 / 1
100.00%","669 / 4812
13.90%","0 / 0
NA","0 / 260
0.00%","9224 / 9284
99.35%","0 / 0
NA","0 / 610
0.00%","1071 / 1084
98.80%","21409 / 21476
99.69%","0 / 148
0.00%","76 / 824
9.22%","0 / 300
0.00%","1081 / 1088
99.36%","4 / 11823
0.03%","0 / 3
0.00%","0 / 15
0.00%","0 / 831
0.00%","0 / 260
0.00%","0 / 277
0.00%","0 / 3118
0.00%","610 / 616
99.03%","275 / 276
99.64%","16728 / 16740
99.93%","0 / 1070
0.00%","0 / 329
0.00%","1 / 1084
0.09%","0 / 0
NA","0 / 261
0.00%","0 / 3378
0.00%","0 / 616
0.00%","0 / 0
NA","0 / 3914
0.00%","0 / 1722
0.00%","0 / 15
0.00%","0 / 0
NA","0 / 162
0.00%","1258 / 1698
74.09%","647 / 1094
59.14%","17530 / 21476
81.63%","0 / 922
0.00%","18 / 9445
0.19%","0 / 0
NA","1 / 616
0.16%"
SRR18300802.fastq.bam,"0 / 10715
0.00%","0 / 335
0.00%","10660 / 10715
99.49%","0 / 0
NA","535 / 2053
26.06%","3 / 6423
0.05%","919 / 922
99.67%","22824 / 23036
99.08%","4500 / 4508
99.82%","0 / 5
0.00%","228 / 229
99.56%","5499 / 5525
99.53%","1 / 2323
0.04%","0 / 0
NA","2 / 5
40.00%","0 / 15806
0.00%","0 / 4
0.00%","0 / 0
NA","0 / 3309
0.00%","0 / 0
NA","0 / 0
NA","10660 / 10715
99.49%","0 / 0
NA","0 / 2052
0.00%","0 / 0
NA","22947 / 23036
99.61%","1 / 87
1.15%","94 / 1204
7.81%","0 / 379
0.00%","0 / 3
0.00%","2 / 3738
0.05%","0 / 0
NA","0 / 0
NA","0 / 1142
0.00%","0 / 1059
0.00%","0 / 3
0.00%","0 / 0
NA","2053 / 2103
97.62%","0 / 0
NA","8273 / 8279
99.93%","0 / 2136
0.00%","0 / 199
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 3873
0.00%","0 / 2103
0.00%","0 / 0
NA","0 / 44
0.00%","0 / 2136
0.00%","1 / 72
1.39%","0 / 0
NA","0 / 0
NA","536 / 2055
26.08%","3 / 6423
0.05%","22870 / 23036
99.28%","0 / 0
NA","23 / 15809
0.15%","0 / 0
NA","1 / 2052
0.05%"
SRR18300803.fastq.bam,"0 / 2485
0.00%","0 / 14
0.00%","2463 / 2485
99.11%","0 / 0
NA","453 / 455
99.56%","457 / 461
99.13%","0 / 4
0.00%","0 / 2
0.00%","1376 / 1377
99.93%","0 / 0
NA","0 / 0
NA","2040 / 2050
99.51%","0 / 1
0.00%","0 / 399
0.00%","1 / 8134
0.01%","0 / 5
0.00%","0 / 0
NA","0 / 0
NA","0 / 1342
0.00%","0 / 0
NA","0 / 6
0.00%","2463 / 2485
99.11%","0 / 0
NA","0 / 2171
0.00%","460 / 461
99.78%","0 / 2
0.00%","0 / 44
0.00%","17 / 134
12.69%","0 / 32
0.00%","461 / 462
99.78%","0 / 199
0.00%","0 / 0
NA","0 / 0
NA","0 / 3
0.00%","0 / 78
0.00%","0 / 14
0.00%","0 / 0
NA","2171 / 2197
98.82%","14 / 14
100.00%","1577 / 1578
99.94%","0 / 455
0.00%","0 / 2
0.00%","0 / 461
0.00%","0 / 0
NA","0 / 6
0.00%","0 / 845
0.00%","2 / 2197
0.09%","0 / 0
NA","0 / 478
0.00%","0 / 2636
0.00%","0 / 24
0.00%","0 / 0
NA","0 / 0
NA","2631 / 2635
99.85%","459 / 2669
17.20%","0 / 0
NA","0 / 399
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 2173
0.00%"
SRR18300804.fastq.bam,"0 / 7
0.00%","0 / 260
0.00%","0 / 7
0.00%","0 / 0
NA","586 / 589
99.49%","588 / 595
98.82%","1018 / 1022
99.61%","3884 / 3905
99.46%","3930 / 3939
99.77%","0 / 0
NA","2 / 2
100.00%","0 / 0
NA","2 / 2607
0.08%","0 / 11
0.00%","4 / 12022
0.03%","0 / 1130
0.00%","0 / 2
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 7
0.00%","0 / 0
NA","587 / 589
99.66%","590 / 595
99.16%","3898 / 3905
99.82%","0 / 1
0.00%","9 / 29
31.03%","0 / 10
0.00%","595 / 598
99.50%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 922
0.00%","0 / 201
0.00%","0 / 18
0.00%","0 / 0
NA","0 / 26
0.00%","0 / 0
NA","3937 / 3939
99.95%","0 / 589
0.00%","0 / 0
NA","0 / 595
0.00%","0 / 0
NA","0 / 0
NA","0 / 8
0.00%","0 / 26
0.00%","0 / 0
NA","0 / 814
0.00%","0 / 597
0.00%","1 / 47
2.13%","0 / 0
NA","0 / 67
0.00%","596 / 597
99.83%","596 / 4973
11.98%","3888 / 3905
99.56%","0 / 11
0.00%","2 / 1132
0.18%","0 / 0
NA","0 / 0
NA"
