Sample	summarized	lineages	abundances	resid	coverage	Date	test_clusters
SRR18036408.fastq	[('Omicron', 0.9185519999969801), ('Other', 0.05974500000504118), ('Delta', 0.02170299999988137)]	BA.1.1.2 BA.1 BA.1.15 BA.1.9 B.1.161 BA.1.16.1 B.20 AY.113 AY.1 BA.1.16.2 BA.1.1.1 B.1.439	0.62601800 0.15520100 0.06426200 0.03364000 0.03158200 0.02648700 0.02501700 0.01488300 0.00682000 0.00651300 0.00643100 0.00314600	10.0096399279509	92.561872909699	2020-01-28	ClusterA
SRR18036409.fastq	[('Omicron', 0.8971739999640542), ('Other', 0.09551499999142114), ('Delta', 0.006544000004677689)]	BA.1.1.2 BA.1.5 BA.1 BA.1.15 BA.1.1.18 B.1.1.141 BA.1.15.3 B.1.1.161 miscDeltaBA1Post11k BA.1.20 B.1.14 B B.1.617.2 B.1.198 N.4 B.1.195	0.42876100 0.14260200 0.14194300 0.12016000 0.05533600 0.02439000 0.01923100 0.01420600 0.01345300 0.00837200 0.00768600 0.00768600 0.00654400 0.00442500 0.00264400 0.00179400	9.97540441861397	92.561872909699	2020-01-29	ClusterB
SRR18036410.fastq	[('Other', 0.9995969997874018)]	B.1.1.367 B.1.1 B.1.1.161 B.47 B.55 B.1.14 B B.1.1.83 B.1.1.119 B.1.198 B.1.420 B.1.1.438	0.47710350 0.47710350 0.02313400 0.00586200 0.00303600 0.00272800 0.00272800 0.00177000 0.00166200 0.00163100 0.00153800 0.00130100	10.1966334078382	92.561872909699	2020-01-30	ClusterA
SRR18036411.fastq	[('Other', 0.9999999999994938)]	B.1.1.161 B.1.14 B	0.97355400 0.01322300 0.01322300	7.66670873261409	92.561872909699	2020-01-31	ClusterB
SRR18036412.fastq	[('Omicron', 0.9218579999952499), ('Other', 0.07814199999782832)]	BA.1.20 BA.1.1.2 BA.1 BA.1.5 miscDeltaBA1Post11k B.1.1.161 miscDeltaBA1Post4k B.4 BA.1.15 BA.1.15.3 B.1.143 B.1.195	0.45833300 0.31441700 0.11587500 0.02342900 0.01988600 0.01498400 0.01415500 0.01078100 0.00980400 0.00729900 0.00677400 0.00426300	9.23936940376483	92.561872909699	2020-02-01	ClusterA
SRR18036413.fastq	[('Omicron', 0.9708029999964903), ('Other', 0.02919699999933078)]	BA.1.1.2 BA.1.14.2 BA.1.15 BA.1 B.1.14 B BA.1.16.2 B.1.439 B.1.195 B.1.164 B.1.420 B.1.1.282 B.1.1.161	0.69099400 0.12067700 0.08900300 0.06570400 0.00723200 0.00723200 0.00442500 0.00350700 0.00344600 0.00239900 0.00213900 0.00196000 0.00128200	9.92995474478562	92.561872909699	2020-02-02	ClusterC
SRR18143732.fastq	[('Omicron', 0.9384820000001868), ('Other', 0.06151799999660249)]	BA.1.9 BA.1 B.1.1.161 B.1.14 B B.1 B.1.1.33 B.1.8 B.1.182 B.1.1.71 B.1.1.141 BA.1.1.1 B.1.164 B.1.1.119	0.71769300 0.21898000 0.01758100 0.00918350 0.00918350 0.00763300 0.00595600 0.00289400 0.00254200 0.00189700 0.00189100 0.00180900 0.00144100 0.00131600	10.1046811519252	92.561872909699	2020-02-03	ClusterA
SRR18143733.fastq	[('Omicron', 0.9416669999879015), ('Other', 0.05744799998563874)]	BA.1 BA.1.1.2 B.1.81 BA.1.18 B.1 B.1.195 B.47 B.42 BA.1.1.10 B.1.439 B.1.420 B.30 B.1.164 B.23 B.1.182 B.1.198	0.52753100 0.39685500 0.01434300 0.01355000 0.01292700 0.00579900 0.00516900 0.00471300 0.00373100 0.00314900 0.00223800 0.00209600 0.00206500 0.00182400 0.00171200 0.00141300	12.4193331776303	92.561872909699	2020-02-04	ClusterC
SRR18143734.fastq	[('Other', 0.9999999999749863)]	B.1.1.161 B.1 B.1.14 B B.1.609 B.47 B.1.439	0.96274200 0.01799800 0.00548800 0.00548800 0.00318800 0.00295300 0.00214300	11.1348675416695	92.561872909699	2020-02-05	ClusterC
SRR18143735.fastq	[('Omicron', 0.9327199999868867), ('Other', 0.06246299998646118), ('A', 0.0020629999994060738)]	BA.1 BA.1.1.2 BA.1.1.18 B.1.14 B B.1.1.161 B.1.1.408 B.1.1.432 B.1.173 BA.1.15 B.47 A B.1.195 B.23 B.1.1.83 B.1.420 B.1.439 B.1.180 B.1.1.197 B.1.1.135 B.1.1.71 B.1.1.141 BA.1.1.3 B.1.198 B.1.8	0.56577300 0.25526500 0.10782700 0.01121400 0.01121400 0.00734400 0.00452700 0.00380200 0.00284800 0.00248400 0.00210500 0.00206300 0.00205300 0.00194400 0.00175700 0.00173700 0.00171200 0.00162900 0.00155700 0.00149400 0.00147900 0.00146700 0.00137100 0.00133600 0.00124400	9.46173643808718	92.561872909699	2020-02-06	ClusterB
SRR18143736.fastq	[('Other', 0.5454549999856821), ('Omicron', 0.45454499999655823)]	BA.1 B.1.1.367 B.1.1 BA.1.5 B.1.1.161 B.1 B.57 B.1.195 B.1.1.33 B.1.14 B	0.41134100 0.24512700 0.24512700 0.04320400 0.02502200 0.01338800 0.00795100 0.00362600 0.00265600 0.00127900 0.00127900	12.6496296157066	92.561872909699	2020-02-07	ClusterA
SRR18143737.fastq	[('Omicron', 0.9387079999932554), ('Other', 0.06021899999697162)]	BA.1 BA.1.1.18 BA.1.1.2 BA.1.18 BA.1.15 B.1.1.529 XF B.1.187 B.1.14 B B.1.1.161 B.47 B.1.267 BA.1.16.2 B.1.439 B.42 B.1.8 B.1.195 B.1.485 B.1.420 B.23 B.1.164 B.1.198	0.55222900 0.17416200 0.10409800 0.03921600 0.03464800 0.03120600 0.01345000 0.00695000 0.00480550 0.00480550 0.00460400 0.00324400 0.00316100 0.00314900 0.00313700 0.00266900 0.00210700 0.00205100 0.00199200 0.00191800 0.00183300 0.00181500 0.00167700	9.95116584739435	92.561872909699	2020-02-08	ClusterA
SRR18143738.fastq	[('Omicron', 0.9594799999830537), ('Other', 0.0375930000038514)]	BA.1 BA.1.15 BA.1.1.18 BA.1.5 BA.1.18 B.1.14 B B.1 B.1.195 B.1.199 B.1.439 B.23 B.47 B.1.8 B.1.609 BA.1.1.3 B.1.420 B.1.198 B.1.164	0.55204600 0.15676400 0.12578600 0.11335300 0.01012800 0.00718450 0.00718450 0.00603500 0.00326300 0.00197400 0.00188900 0.00181600 0.00149500 0.00148800 0.00144200 0.00140300 0.00131600 0.00128800 0.00121800	9.06092129960063	92.561872909699	2020-02-09	ClusterA
SRR18143739.fastq	[('Omicron', 0.9586280000216885), ('Other', 0.04067199999847648)]	BA.1 BA.1.1.2 BA.1.15 B.20 B.1.1.204 B.1.439 B.1.195 B.1.420 B.1.8 B.23	0.51288800 0.25380700 0.19193300 0.02493100 0.00320400 0.00292600 0.00272700 0.00252700 0.00227500 0.00208200	9.82650502388041	92.561872909699	2020-02-10	ClusterC
SRR18143740.fastq	[('Other', 0.9999999999856125)]	B.1.1.367 B.1.1 B.1.14 B B.1.1.161 B.23 B.1.195 B.1.1.41	0.46720100 0.46720100 0.02216950 0.02216950 0.01208700 0.00351000 0.00349600 0.00216600	8.89889791250262	92.561872909699	2020-02-11	ClusterA
SRR18143741.fastq	[('Other', 0.9999999999908975)]	B.1.1.367 B.1.1 B.1.1.189 B.1.14 B B.1.1.237 B.1.1.161 B.1.195 B.1.1.71	0.33668050 0.33668050 0.28672300 0.01433250 0.01433250 0.00316100 0.00309500 0.00273600 0.00225900	12.5450409028148	92.561872909699	2020-02-12	ClusterB
SRR18143742.fastq	[('Other', 0.999999999833427)]	B.1 B.1.14 B B.47 B.1.164	0.97070000 0.01134000 0.01134000 0.00453100 0.00208900	12.5459128540077	92.561872909699	2020-02-13	ClusterC
SRR18143743.fastq	[('Other', 0.9999999999780128)]	B.1.1.367 B.1.1 B.1.14 B B.1.1.37 B.1.1.71	0.47264850 0.47264850 0.02443200 0.02443200 0.00374700 0.00209200	10.8453615798636	92.561872909699	2020-02-14	ClusterC
SRR18143744.fastq	[('Omicron', 0.9448949999940652), ('Other', 0.05441499999808563)]	BA.1 BA.1.5 BA.1.15 B.1.14 B B.1.1.71 B.1.439 B.1.198 B.1.1.301 B.1.1.197	0.45640400 0.25583600 0.23265500 0.02134150 0.02134150 0.00304200 0.00282400 0.00221200 0.00201100 0.00164300	11.8071355711174	92.561872909699	2020-02-15	ClusterA
SRR18143745.fastq	[('Omicron', 0.8891379999907834), ('Other', 0.11008299997552042)]	BA.1 BA.1.15 BA.1.1.18 B.1.1 B.1.1.367 B.1.1.161 B.1 B.1.14 B B.1.1.41 B.1.420 B.1.439 B.1.195 B.1.1.71 B.1.1.33 B.1.198 B.1.1.380	0.53121000 0.20332300 0.15460500 0.02426650 0.02426650 0.01841400 0.00957500 0.00689900 0.00689900 0.00515000 0.00282700 0.00260100 0.00205800 0.00195900 0.00194600 0.00176400 0.00145800	11.0539351524327	92.561872909699	2020-02-16	ClusterB
SRR18143746.fastq	[('Omicron', 0.9486679999947781), ('Other', 0.05067800000511382)]	BA.1 BA.1.15 BA.1.1.18 BA.1.1.2 B.1 B.1.14 B B.1.195 B.1.164 BA.1.16.2 BA.1.1.3 B.1.8 B.1.420 B.1.439 B.47 B.1.198	0.63087300 0.13399600 0.11603900 0.06191300 0.01691400 0.00697950 0.00697950 0.00505900 0.00504900 0.00338200 0.00246500 0.00238000 0.00221600 0.00219000 0.00179500 0.00111600	12.1468803076723	92.561872909699	2020-02-17	ClusterB
SRR18266276.fastq	[('Omicron', 0.939616999985824), ('Other', 0.05782999995143751), ('A', 0.0015239999994898432)]	BA.1 BA.1.1.2 B.1.1.367 B.1.1 B.1.1.161 B.1.1.317 B.1.1.40 B.23 B.1.1.37 B.1.198 B.1.1.119 B.42 A B.1.1.71 B.1.420 B.1.157	0.67451000 0.26510700 0.01374400 0.01374400 0.00755800 0.00652200 0.00235600 0.00228400 0.00222100 0.00219700 0.00180300 0.00164400 0.00152400 0.00140300 0.00130400 0.00105000	10.4729759705021	92.561872909699	2020-02-18	ClusterB
SRR18266277.fastq	[('Omicron', 0.9431520000750935), ('Other', 0.05586799946617426)]	BA.1 BA.1.1.18 B.1.1 B.1.1.367 B.1.1.317 B.1.1.161 B.1.1.310 B.1.14 B B.1.1.37 B.1.420 B.1.1.83 B.1.1.71 B.1.1.197 B.1.1.237 B.1.1.33 B.1.1.130 B.1.157	0.67539400 0.26775800 0.00898400 0.00898400 0.00750100 0.00496400 0.00311300 0.00304800 0.00304800 0.00247600 0.00217900 0.00205700 0.00203900 0.00183900 0.00169300 0.00157400 0.00135300 0.00101600	12.3227576961709	92.561872909699	2020-02-19	ClusterA
SRR18266278.fastq	[('Omicron', 0.97411700000074), ('Other', 0.024938999997497293)]	BA.1 BA.1.9 B.1.1.161 BA.1.15.2 B.47 B.1.1.71 B.1.195 B.1.157 B.1.1.197 B.1.14 B B.1.1.141 B.1.420 B.1.1.180 B.1.198	0.62094200 0.34960900 0.00670700 0.00356600 0.00291400 0.00259700 0.00204300 0.00171300 0.00137000 0.00136150 0.00136150 0.00135700 0.00129400 0.00111300 0.00110800	8.50931824686454	92.561872909699	2020-02-20	ClusterC
SRR18266279.fastq	[('Other', 0.9962729998336765), ('A', 0.0012209999971359879)]	B.1.1.367 B.1.1 B.1.1.317 B.1.14 B B.1.1.161 B.1.1.37 B.1.1.189 B.1.1.197 B.23 B.47 B.1.1.57 B.1.1.58 A B.1.1.208 B.1.1.329	0.47965450 0.47965450 0.00775400 0.00499600 0.00499600 0.00328300 0.00277500 0.00249000 0.00214100 0.00166500 0.00164700 0.00151900 0.00151900 0.00122100 0.00115500 0.00102400	11.1019752523327	92.561872909699	2020-02-21	ClusterA
SRR18266280.fastq	[('Omicron', 0.9649880000609199), ('Other', 0.035011999928670566)]	BA.1.9 B.1.1.529 B.5 B.1.1.161 B.1.164 B.55 B.1.439 B.1.1.71 BA.1.1.1 B.1.1.398 B.1.1.208 B.1.1.197	0.56494100 0.39811200 0.00854900 0.00731400 0.00586600 0.00358100 0.00283700 0.00206700 0.00193500 0.00179400 0.00166200 0.00134200	11.9814342993907	92.561872909699	2020-02-22	ClusterC
SRR18266281.fastq	[('Omicron', 0.8301889999982902), ('Other', 0.16882399998915557)]	B.1.1.529 BA.1 B.1.1.367 B.1.1 B.1.1.317 B.1.1.398 B.1.1.161 B.1.14 B B.1.420 B.1.1.71 B.1.1.380 B.1.1.37 B.47 B.1.1.119 B.1.1.160	0.60713100 0.22305800 0.06437150 0.06437150 0.00899800 0.00415900 0.00410700 0.00314400 0.00314400 0.00313900 0.00300000 0.00245400 0.00243900 0.00227700 0.00168400 0.00153600	10.5818607957848	92.561872909699	2020-02-23	ClusterC
SRR18266282.fastq	[('Omicron', 0.8996979999521636), ('Other', 0.09787399987816855), ('A', 0.0024279999954822475)]	BA.1 BA.1.1.2 BA.1.15 B.20 B.1.545 B.1.1.161 B.1.1.317 B.1.1.83 B.1.1.37 B.1.1.367 B.1.1 B.1.420 B.1.1.41 B.1.1.71 A B.47 B.1.1.141 B.1.1.119 B.1.198 B.1.1.197 B.1.1.380	0.74953500 0.11760500 0.03255800 0.02173900 0.01592400 0.01187100 0.00970900 0.00712200 0.00482400 0.00434050 0.00434050 0.00283300 0.00283200 0.00252500 0.00242800 0.00232900 0.00197400 0.00162300 0.00130600 0.00130500 0.00127700	10.2785016842226	92.561872909699	2020-02-24	ClusterC
SRR18266283.fastq	[('Omicron', 0.9668079997987696), ('Other', 0.030779999858516954)]	BA.1 BA.1.1.2 B.1.187 B.20 BA.1.15 B.1.195 B.1.439 B.1.250 B.1.420 B.1.164 B.1 B.47 B.1.8 B.23 B.1.198	0.85465300 0.10798900 0.00473000 0.00444300 0.00416600 0.00301900 0.00260000 0.00257700 0.00254900 0.00223900 0.00205200 0.00191100 0.00188000 0.00174600 0.00103400	11.7154846730029	92.561872909699	2020-02-25	ClusterC
SRR18266284.fastq	[('Omicron', 0.7196159999926218), ('Other', 0.25216299997285435), ('Delta', 0.02797800000019826)]	BA.1.1.18 BA.1.1.2 BA.1 miscDeltaBA1Post11k BA.1.14 BA.1.15 B.1.1.367 B.1.1 B.1.1.161 AY.1 BA.1.15.2 B.1.1.317 BA.1.20 B.1.1.41 AY.99 B.4 B.1.1.432 B.1.1.37 B.1.1.71 B.1.1.310 B.23 B.1.198 B.1.420 B.1.1.5 B.47 B.1.1.33 B.1.1.197 B.1.1.111 B.4.5 B.1.1.141 B.1.1.237 AY.104 AY.126	0.21885200 0.20216500 0.15422400 0.09288400 0.06581500 0.05476500 0.03730750 0.03730750 0.03306400 0.02084800 0.01536800 0.00934600 0.00842700 0.00706200 0.00429000 0.00391300 0.00311500 0.00303900 0.00271900 0.00256400 0.00214300 0.00210600 0.00203300 0.00185400 0.00183100 0.00176300 0.00170600 0.00166900 0.00165000 0.00158800 0.00149900 0.00144400 0.00139600	11.8812286739284	92.561872909699	2020-02-26	ClusterC
